"imdb_id"	"tmdb_id"	"primaryTitle"	"mainGenre"	"genres"	"isAdult"	"releaseYear"	"releaseDate"	"overview"	"tagline"	"budget"	"revenue"	"averageRating"	"numVotes"
"tt0034488"	38324	"Back-Room Boy"	"Comedy"	"Comedy"	"0"	1942	1942-04-15	"Jilted by his fiancee, Arthur Pilbeam gets a job as far away from women as possible. Alone in a lighthouse, he soon finds that 12 other people end up living on the tiny island. Thirteen is an unlucky number; and one-by-one they disappear ..."	""	0	0	6.6	167
"tt0034491"	394327	"The Balloon Goes Up"	"Comedy"	"Comedy,Musical,War"	"0"	1942	1942-12-01	"Balloon unit WAAFs catch German spies."	""	0	0	4.9	18
"tt0034492"	3170	"Bambi"	"Animation"	"Animation,Drama,Family"	"0"	1942	1942-08-14	"Bambi's tale unfolds from season to season as the young prince of the forest learns about life, love, and friends."	"A great love story."	858000	267447150	7.3	106427
"tt0034493"	61461	"The Children Are Watching Us"	"Animation"	"Drama"	"0"	1944	1944-10-27	"The film follows a four-year old boy named Prico as he becomes the subject of emotional folly by his fluctuant parents and inattentive relatives.  In his first collaboration with renowned screenwriter and longtime partner Cesare Zavattini, Vittorio De Sica examines the cataclysmic consequences of adult folly on an innocent child. Heralding the pair’s subsequent work on some of the masterpieces of Italian neorealism, The Children Are Watching Us is a vivid, deeply humane portrait of a family’s disintegration."	""	0	0	7.8	1933
"tt0034494"	385389	"Bandit Ranger"	"Music"	"Music,Western"	"0"	1942	1942-09-28	"Rancher Clay Travers finds and brings in the body of ranger Frank Mattison, murdered on the road to Trail City, where he had been sent to deal with an outbreak of cattle rustling. Businessman Art Kenyon, who has hired gunman Ed Martin to impersonate Mattison to further his rustling schemes, quickly changes Martin's story and has Travers framed for the ranger's murder. Managing to escape, Travers must come up with proof to clear his name and bring the true killers to justice."	"IT'S A BAD DAY FOR BAD MEN!"	0	0	6.3	52
"tt0034497"	399683	"Raigekitai Shutsudô"	"Drama"	"Drama,War"	"0"	1944	1944-12-07	""	""	0	0	4.8	13
"tt0034500"	111331	"Behind the Eight Ball"	"Comedy"	"Comedy,Musical,Mystery"	"0"	1942	1942-12-04	"The story takes place at a summer theater in the Berkshire Mountains, where heroine Joan Barry (Carol Bruce) is staging a Broadway-bound musical comedy. Only one problem: two guest stars are shot and killed on two successive evenings, right in front of the audience. Hoping to solve the mystery, detective William Demarest demands that everyone -- actors and theatergoers alike -- return the following weekend to restage the show. But with no major performer willing to assume the fatal guest-star slot, Joan is forced to hire the Three Jolly Jesters (Al, Harry and Jimmy Ritz), Manhattan washroom attendants with showbiz aspirations."	"FUN STARS ! TUNE-STARS! LOVE-STARS! Hep-steppers and Happy Honeys!"	0	0	6.1	29
"tt0034504"	275905	"Bells of Capistrano"	"Music"	"Music,Western"	"0"	1942	1942-09-15	"America's favorite singing cowboy Gene Autry stars in this vintage tale as an up-and-coming rodeo singer caught in the middle of two rival companies, both angling to ride the talented crooner to riches. Featuring several memorable musical performances from Autry, including renditions of \"Forgive Me\" and \"In Old Capistrano,\" this rousing Western co-stars Smiley Burnette, Virginia Grey and Lucien Littlefield."	"THE STAR ALL AMERICA'S TALKING ABOUT!"	0	0	6.5	61
"tt0034506"	317022	"Bengasi"	"Drama"	"Drama,War"	"0"	1942	1942-01-10	"Venice Film Festival 1942"	""	0	0	7.3	53
"tt0034507"	98257	"Berlin Correspondent"	"Drama"	"Drama,Thriller"	"0"	1942	1942-08-17	"Dana Andrews plays Bill Roberts, an American radio commentator station in Berlin in the months before Pearl Harbor. Having witnessed Nazi brutalities first hand, Roberts hopes to alert his listeners of impending dangers, and does so by sending out coded messages during his broadcasts. The Gestapo begins to suspect something and assigns glamorous secret agent Karen Hauen (Virginia Gilmore) to spy on Roberts. When she discovers that her own father (Erwin Kaiser) is supplying Roberts with vital secrets, she turns her back on the Nazis and joins our hero in his efforts."	"He Lived Thru A Nazi Nightmare You'll Never Forget!"	0	0	6.3	197
